"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
		"实验室技术人员"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"医学研究者"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"最初保健护理医师"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"生物学和医学技术专家"	"生物医学工程类0826，生物医学工程082602"
		"运动生理学家"	"生物医学工程类0826，生物医学工程082602"
		"药剂师／配药技术员
"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
"ISFP
"			
	"工艺部门"		
		"时装设计"	"工艺美术品设计与制作670134，工业设计580109，服装设计与工程081602，服装设计与工艺610211"
		"木匠"	
		"珠宝商"	
		"园艺匠"	"风景园林082803，园林090502，园林技术510202，园林工程技术560106，风景园林设计560107"
		"织毯工人"	
		"陶工"	
		"漆匠"	
		"舞蹈员"	"音乐与舞蹈学类1302，舞蹈表演130204，舞蹈学130205，舞蹈编导130206，舞蹈编导670212，舞蹈表演670203"
